Date,AAPL,MSFT,TSLA
2025-01-02,243.85,418.58,379.28
2025-01-03,243.36,423.35,410.44
2025-01-06,245.0,427.85,411.05
2025-01-07,242.21,422.37,394.36
2025-01-08,242.7,424.56,394.94
2025-01-10,236.85,418.95,394.74
2025-01-13,234.4,417.19,403.31
2025-01-14,233.28,415.67,396.36
2025-01-15,237.87,426.31,428.22
2025-01-16,228.26,424.58,413.82
2025-01-17,229.98,429.03,426.5
2025-01-21,222.64,428.5,424.07
2025-01-22,223.83,446.2,415.11
2025-01-23,223.66,446.71,412.38
2025-01-24,222.78,444.06,406.58
2025-01-27,229.86,434.56,397.15
2025-01-28,238.26,447.2,398.09
2025-01-29,239.36,442.33,389.1
2025-01-30,237.59,414.99,400.28
2025-01-31,236.0,415.06,404.6
2025-02-03,228.01,410.92,383.68
2025-02-04,232.8,412.37,392.21
2025-02-05,232.47,413.29,378.17
2025-02-06,233.22,415.82,374.32
2025-02-07,227.63,409.75,361.62
2025-02-10,227.65,412.22,350.73
2025-02-11,232.62,411.44,328.5
2025-02-12,236.87,409.04,336.51
2025-02-13,241.53,410.54,355.94
2025-02-14,244.6,408.43,355.84
2025-02-18,244.47,409.64,354.11
2025-02-19,244.87,414.77,360.56
2025-02-20,245.83,416.13,354.4
2025-02-21,245.55,408.21,337.8
2025-02-24,247.1,404.0,330.53
2025-02-25,247.04,397.9,302.8
2025-02-26,240.36,399.73,290.8
2025-02-27,237.3,392.53,281.95
2025-02-28,241.84,396.99,292.98
2025-03-03,238.03,388.49,284.65
2025-03-04,235.93,388.61,272.04
2025-03-05,235.74,401.02,279.1
2025-03-06,235.33,396.89,263.45
2025-03-07,239.07,393.31,262.67
2025-03-10,227.48,380.16,222.15
2025-03-11,220.84,380.45,230.58
2025-03-12,216.98,383.27,248.09
2025-03-13,209.68,378.77,240.68
2025-03-14,213.49,388.56,249.98
2025-03-17,214.0,388.7,238.01
2025-03-18,212.69,383.52,225.31
2025-03-19,215.24,387.82,235.86
2025-03-20,214.1,386.84,236.26
2025-03-21,218.27,391.26,248.71
2025-03-24,220.73,393.08,278.39
2025-03-25,223.75,395.16,288.14
2025-03-26,221.53,389.97,272.06
2025-03-27,223.85,390.58,273.13
2025-03-28,217.9,378.8,263.55
2025-03-31,222.13,375.39,259.16
2025-04-01,223.19,382.19,268.46
2025-04-02,223.89,382.14,282.76
2025-04-03,203.19,373.11,267.28
2025-04-04,188.38,359.84,239.43
2025-04-07,181.46,357.86,233.29
2025-04-08,172.42,354.56,221.86
2025-04-09,198.85,390.49,272.2
2025-04-10,190.42,381.35,252.4
2025-04-11,198.15,388.45,252.31
2025-04-14,202.52,387.81,252.35
2025-04-15,202.14,385.73,254.11
2025-04-16,194.27,371.61,241.55
2025-04-17,196.98,367.78,241.37
2025-04-21,193.16,359.12,227.5
2025-04-22,199.74,366.82,237.97
2025-04-23,204.6,374.39,250.74
2025-04-24,208.37,387.3,259.51
2025-04-25,209.28,391.85,284.95
2025-04-28,210.14,391.16,285.88
2025-04-29,211.21,394.04,292.03
2025-04-30,212.5,395.26,282.16
2025-05-01,213.32,425.4,280.52
2025-05-02,205.35,435.28,287.21
2025-05-05,198.89,436.17,280.26
2025-05-06,198.51,433.31,275.35
2025-05-07,196.25,433.35,276.22
2025-05-08,197.49,438.17,284.82
2025-05-09,198.53,438.73,298.26
2025-05-12,210.79,449.26,318.38
2025-05-13,212.93,449.14,334.07
2025-05-14,212.33,452.94,347.68
2025-05-15,211.45,453.13,342.82
2025-05-16,211.26,454.27,349.98
2025-05-19,208.78,458.87,342.09
2025-05-20,206.86,458.17,343.82
2025-05-21,202.09,452.57,334.62
2025-05-22,201.36,454.86,341.04
2025-05-23,195.27,450.18,339.34
2025-05-27,200.21,460.69,362.89
2025-05-28,200.42,457.36,356.9
2025-05-29,199.95,458.68,358.43
2025-05-30,200.85,460.36,346.46
2025-06-02,201.7,461.97,342.69
2025-06-03,203.27,462.97,344.27
2025-06-04,202.82,463.87,332.05
2025-06-05,200.63,467.68,284.7
2025-06-06,203.92,470.38,295.14
2025-06-09,201.45,472.75,308.58
2025-06-10,202.67,470.92,326.09
2025-06-11,198.78,472.62,326.43
2025-06-12,199.2,478.87,319.11
2025-06-13,196.45,474.96,325.31
2025-06-16,198.42,479.14,329.13
2025-06-17,195.64,478.04,316.35
2025-06-18,196.58,480.24,322.05
2025-06-20,201.0,477.4,322.16
2025-06-23,201.5,486.0,348.68
2025-06-24,200.3,490.11,340.47
2025-06-25,201.56,492.27,327.55
2025-06-26,201.0,497.45,325.78
2025-06-27,201.08,495.94,323.63
2025-06-30,205.17,497.41,317.66
2025-07-01,207.82,492.05,300.71
2025-07-02,212.44,491.09,315.65
2025-07-03,213.55,498.84,315.35
2025-07-07,209.95,497.72,293.94
2025-07-08,210.01,496.62,297.81
2025-07-09,211.14,503.51,295.88
2025-07-10,212.41,501.48,309.87
2025-07-11,211.16,503.32,313.51
2025-07-14,208.62,503.02,316.9
2025-07-15,209.11,505.82,310.78
2025-07-16,210.16,505.62,321.67
2025-07-17,210.02,511.7,319.41
2025-07-18,211.18,510.05,329.65
2025-07-21,212.48,510.06,328.49
2025-07-22,214.4,505.27,332.11
2025-07-23,214.15,505.87,332.56
2025-07-24,213.76,510.88,305.3
2025-07-25,213.88,513.71,316.06
